name,team,avg,g,pa,ab,r,h,2b,3b,hr,tb,rbi,sac,sf,xbh,go,ao,go/ao,gw rbi,bb/k,p/pa,isop,xr,gpa
이성우,KIA,0.211,55,89,76,9,16,1,0,0,17,6,4,1,1,31,20,1.55,0,0.5,3.39,0.013,4.9,0.183
백용환,KIA,0.195,80,199,174,12,34,7,0,4,53,15,3,2,11,53,37,1.43,2,0.37,4.13,0.109,14.7,0.2
김민우,KIA,0.195,19,47,41,3,8,1,0,0,9,4,1,0,1,15,6,2.5,1,0.42,3.87,0.024,2.7,0.182
한승택,KIA,0.179,27,30,28,1,5,0,0,0,5,5,1,0,0,9,6,1.5,1,0.13,3.57,0,0.7,0.138
박찬호,KIA,0.167,69,46,42,9,7,0,0,0,7,3,1,0,0,21,5,4.2,1,0.33,4.28,0,1,0.142
윤완주,KIA,0.167,34,34,30,5,5,0,0,1,8,2,1,1,1,14,6,2.33,0,0.33,3.44,0.1,2.2,0.162
이호신,KIA,0.154,51,43,39,1,6,2,0,0,8,2,1,1,2,5,19,0.26,0,0.2,3.56,0.051,1,0.137
이진영,KIA,0.138,17,33,29,4,4,0,0,0,4,2,1,0,0,11,4,2.75,0,0.3,4,0,0.2,0.133
홍재호,KIA,0.077,22,16,13,4,1,0,0,0,1,1,0,1,0,5,5,1,0,0.67,4.25,0,0.4,0.104
김광수,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김윤동,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김진우,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박준표,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
배힘찬,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
심동섭,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
임창용,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
정용운,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
최병연,KIA,0,12,9,8,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0.5,4.44,0,-0.4,0.05
최영필,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
한기주,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
한승혁,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
헥터,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
홍건희,KIA,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
유한준,kt,0.336,110,460,408,70,137,22,0,14,201,64,0,3,36,120,114,1.05,4,1.18,3.92,0.157,76.2,0.305
이진영,kt,0.332,115,424,371,49,123,23,1,10,178,72,0,5,34,117,92,1.27,4,1.02,3.59,0.148,65.9,0.301
이대형,kt,0.32,143,654,600,89,192,14,3,1,215,42,7,1,18,262,57,4.6,3,0.49,3.69,0.038,78.5,0.255
박경수,kt,0.313,121,476,402,64,126,22,1,20,210,80,0,4,43,77,123,0.63,5,0.81,4.25,0.209,83.7,0.316
전민수,kt,0.305,74,240,213,31,65,14,1,3,90,29,4,0,18,65,37,1.76,2,0.41,3.91,0.117,32,0.274
오정복,kt,0.304,96,344,306,45,93,11,2,5,123,36,6,4,18,76,109,0.7,1,0.88,3.88,0.098,44.8,0.262
신현철,kt,0.292,35,25,24,3,7,2,0,0,9,2,0,0,2,3,2,1.5,0,0,3.76,0.083,2.7,0.238
유민상,kt,0.282,95,254,213,30,60,12,1,4,86,37,3,4,17,67,51,1.31,0,0.64,4.18,0.122,32.9,0.27
박기혁,kt,0.273,117,348,308,36,84,13,0,2,103,34,10,2,15,97,76,1.28,8,0.51,3.86,0.062,33.2,0.232
마르테,kt,0.265,91,381,325,52,86,16,0,22,168,74,0,5,38,68,125,0.54,8,0.98,3.69,0.252,60,0.291
배병옥,kt,0.26,65,55,50,10,13,1,0,0,14,3,1,0,1,12,7,1.71,1,0.22,4.09,0.02,4.7,0.212
김사연,kt,0.25,20,63,56,6,14,1,0,0,15,4,0,0,1,15,17,0.88,1,0.7,3.92,0.018,4.2,0.217
김종민,kt,0.244,78,217,180,17,44,3,0,0,47,20,10,3,3,62,45,1.38,3,0.66,4.08,0.017,18.7,0.213
심우준,kt,0.242,122,251,236,36,57,9,1,3,77,17,5,2,13,64,77,0.83,2,0.2,3.67,0.085,22,0.2
윤요섭,kt,0.238,66,149,126,14,30,6,0,6,54,16,0,0,12,47,25,1.88,4,0.83,3.72,0.19,18.1,0.267
박용근,kt,0.23,31,86,74,5,17,4,1,1,26,6,0,1,6,31,13,2.38,1,0.79,4.05,0.122,9,0.234
김상현,kt,0.225,62,246,222,29,50,5,0,11,88,32,0,2,16,74,52,1.42,0,0.42,3.94,0.171,24.8,0.231
김선민,kt,0.22,32,63,50,7,11,0,0,0,11,2,2,0,0,9,16,0.56,0,0.71,4.6,0,4.8,0.217
하준호,kt,0.219,94,217,187,26,41,5,0,3,55,15,4,1,8,55,29,1.9,2,0.32,4.07,0.075,19.6,0.213
김연훈,kt,0.217,103,181,166,13,36,10,0,1,49,18,5,3,11,46,41,1.12,1,0.15,3.48,0.078,11.2,0.184
남태혁,kt,0.205,16,48,44,2,9,3,0,0,12,2,0,1,3,9,9,1,0,0.17,4.27,0.068,2.3,0.181
이해창,kt,0.203,88,254,231,16,47,10,0,6,75,22,8,3,16,50,72,0.69,1,0.14,3.65,0.121,17,0.189
문상철,kt,0.2,48,87,80,9,16,7,0,1,26,7,0,1,8,17,22,0.77,0,0.15,3.51,0.125,6.4,0.195
김영환,kt,0.167,12,12,12,2,2,0,0,0,2,0,0,0,0,5,2,2.5,0,0,3.58,0,0.1,0.117
김동명,kt,0.135,21,41,37,3,5,0,0,3,14,5,0,0,3,10,8,1.25,0,0.21,3.8,0.243,2.9,0.194
김진곤,kt,0.125,13,8,8,1,1,0,0,0,1,0,0,0,0,4,2,2,0,0,3.75,0,-0.1,0.088
