,home_team,home_score,pitcher_home,hitter_home,away_team,away_score,pitcher_away,hitter_away
35,NC,4,장현식,"이재율, 모창민, 조평호, 지석훈, 나성범, 스크럭스, 권희동, 이상호, 손시헌",HANHWA,7,배영수,"신성현, 정현석, 김원석, 장민석, 김주현, 차일목, 강경학, 이창열, 김태균"
36,NEXEN,8,신재영,"이정후, 김하성, 고종욱, 김태완, 허정협, 김지수, 김웅빈, 이택근, 김재현",LOTTE,8,박세웅,"번즈, 오승택, 김상호, 전준우, 손아섭, 김대우, 김문호, 김민수, 이우민"
37,SK,7,김주한,"박승욱, 김동엽, 김강민, 최정, 정의윤, 박정권, 이명기, 김재현, 김성현",DOOSAN,7,보우덴,"민병헌, 김재호, 오재일, 양의지, 김인태, 허경민, 정진호, 류지혁, 조수행"
38,KIA,4,홍건희,"김주찬, 이범호, 김주형, 노수광, 버나디나, 나지완, 이준호, 김선빈, 한승택",SAMSUNG,3,장원삼,"박해민, 러프, 김상수, 구자욱, 이승엽, 이원석, 김헌곤, 정병곤, 백상원"
39,LG,7,류제국,"김용의, 오지환, 유강남, 최재원, 박용택, 서상우, 히메네스, 이천웅, 정성훈",KT,5,피어밴드,"전민수, 김사연, 정현, 심우준, 홍현빈, 김동욱, 윤요섭, 오정복, 장성우"
40,HANHWA,6,윤규진,"장민석, 조인성, 강경학, 김원석, 하주석, 김주현, 로사리오, 최진행, 신성현",KIA,3,양현종,"노수광, 최원준, 이인행, 홍재호, 오준혁, 서동욱, 나지완, 이준호, 이성우"
41,NEXEN,15,최원태,"김웅빈, 박동원, 허정협, 서건창, 이정후, 윤석민, 김민성, 채태인, 대니돈",KT,9,주권,"박경수, 전민수, 유한준, 모넬, 정현, 이대형, 하준호, 장성우, 박기혁"
42,SK,3,문승원,"김강민, 나주환, 정의윤, 김성현, 박승욱, 최정, 박정권, 김동엽, 김민식",LG,2,차우찬,"이천웅, 김재율, 유강남, 최재원, 서상우, 이병규, 임훈, 강승호, 손주인"
43,LOTTE,2,노경은,"이우민, 오승택, 손아섭, 이대호, 최준석, 신본기, 김재유, 전준우, 김민하",NC,9,이재학,"김성욱, 권희동, 지석훈, 나성범, 모창민, 조평호, 손시헌, 스크럭스, 김태군"
44,DOOSAN,9,장원준,"박건우, 김재호, 민병헌, 오재일, 허경민, 류지혁, 김재환, 양의지, 김민혁",SAMSUNG,2,페트릭,"박해민, 이승엽, 구자욱, 이원석, 김헌곤, 김상수, 백상원, 러프, 이지영"
45,HANHWA,3,안영명,"장민석, 임익준, 로사리오, 김태균, 송광민, 최진행, 이성열, 차일목, 최윤석",KIA,2,임기영,"버나디나, 서동욱, 노수광, 김선빈, 김주찬, 이범호, 김주형, 최원준, 나지완"
